"Date(UTC)","UnixTimeStamp","Value"
"10/22/2024","1729555200","43200"
"10/23/2024","1729641600","43200"
"10/24/2024","1729728000","43200"
"10/25/2024","1729814400","43200"
"10/26/2024","1729900800","43200"
"10/27/2024","1729987200","43200"
"10/28/2024","1730073600","43200"
"10/29/2024","1730160000","43200"
"10/30/2024","1730246400","43200"
"10/31/2024","1730332800","43200"
"11/1/2024","1730419200","43200"
"11/2/2024","1730505600","43200"
"11/3/2024","1730592000","43200"
"11/4/2024","1730678400","43200"
"11/5/2024","1730764800","43200"
"11/6/2024","1730851200","43200"
"11/7/2024","1730937600","43200"
"11/8/2024","1731024000","43200"
"11/9/2024","1731110400","43200"
"11/10/2024","1731196800","43200"
"11/11/2024","1731283200","43200"
"11/12/2024","1731369600","43200"
"11/13/2024","1731456000","43200"
"11/14/2024","1731542400","43200"
"11/15/2024","1731628800","43200"
"11/16/2024","1731715200","43200"
"11/17/2024","1731801600","43200"
"11/18/2024","1731888000","43200"
"11/19/2024","1731974400","43200"
"11/20/2024","1732060800","43200"
"11/21/2024","1732147200","43200"
"11/22/2024","1732233600","43200"
"11/23/2024","1732320000","43200"
"11/24/2024","1732406400","43200"
"11/25/2024","1732492800","43200"
"11/26/2024","1732579200","43200"
"11/27/2024","1732665600","43200"
"11/28/2024","1732752000","43200"
"11/29/2024","1732838400","43200"
"11/30/2024","1732924800","43200"
"12/1/2024","1733011200","43200"
"12/2/2024","1733097600","43200"
"12/3/2024","1733184000","43200"
"12/4/2024","1733270400","43200"
"12/5/2024","1733356800","43200"
"12/6/2024","1733443200","43200"
"12/7/2024","1733529600","43200"
"12/8/2024","1733616000","43200"
"12/9/2024","1733702400","43200"
"12/10/2024","1733788800","43200"
"12/11/2024","1733875200","43200"
"12/12/2024","1733961600","43200"
"12/13/2024","1734048000","43200"
"12/14/2024","1734134400","43200"
"12/15/2024","1734220800","43200"
"12/16/2024","1734307200","43200"
"12/17/2024","1734393600","43200"
"12/18/2024","1734480000","43200"
"12/19/2024","1734566400","43200"
"12/20/2024","1734652800","43200"
"12/21/2024","1734739200","43200"
"12/22/2024","1734825600","43200"
"12/23/2024","1734912000","43200"
"12/24/2024","1734998400","43200"
"12/25/2024","1735084800","43200"
"12/26/2024","1735171200","43200"
"12/27/2024","1735257600","43200"
"12/28/2024","1735344000","43200"
"12/29/2024","1735430400","43200"
"12/30/2024","1735516800","43200"
"12/31/2024","1735603200","43200"
"1/1/2025","1735689600","43200"
"1/2/2025","1735776000","43200"
"1/3/2025","1735862400","43200"
"1/4/2025","1735948800","43200"
"1/5/2025","1736035200","43200"
"1/6/2025","1736121600","43200"
"1/7/2025","1736208000","43200"
"1/8/2025","1736294400","43200"
"1/9/2025","1736380800","43200"
"1/10/2025","1736467200","43200"
"1/11/2025","1736553600","43200"
"1/12/2025","1736640000","43200"
"1/13/2025","1736726400","43200"
"1/14/2025","1736812800","43200"
"1/15/2025","1736899200","43200"
"1/16/2025","1736985600","43200"
"1/17/2025","1737072000","43200"
"1/18/2025","1737158400","43200"
"1/19/2025","1737244800","43200"
"1/20/2025","1737331200","43200"
"1/21/2025","1737417600","43200"
"1/22/2025","1737504000","43200"
"1/23/2025","1737590400","43200"
"1/24/2025","1737676800","43200"
"1/25/2025","1737763200","43200"
"1/26/2025","1737849600","43200"
"1/27/2025","1737936000","43200"
"1/28/2025","1738022400","43200"
"1/29/2025","1738108800","43200"
"1/30/2025","1738195200","43200"
"1/31/2025","1738281600","43200"
"2/1/2025","1738368000","43200"
"2/2/2025","1738454400","43200"
"2/3/2025","1738540800","43200"
"2/4/2025","1738627200","43200"
"2/5/2025","1738713600","43200"
"2/6/2025","1738800000","43200"
"2/7/2025","1738886400","43200"
"2/8/2025","1738972800","43200"
"2/9/2025","1739059200","43200"
"2/10/2025","1739145600","43200"
"2/11/2025","1739232000","43200"
"2/12/2025","1739318400","43200"
"2/13/2025","1739404800","43200"
"2/14/2025","1739491200","43200"
"2/15/2025","1739577600","43200"
"2/16/2025","1739664000","43200"
"2/17/2025","1739750400","43200"
"2/18/2025","1739836800","43200"
"2/19/2025","1739923200","43200"
"2/20/2025","1740009600","43200"
"2/21/2025","1740096000","43200"
"2/22/2025","1740182400","43200"
"2/23/2025","1740268800","43200"
"2/24/2025","1740355200","43200"
"2/25/2025","1740441600","43200"
"2/26/2025","1740528000","43200"
"2/27/2025","1740614400","43200"
"2/28/2025","1740700800","43200"
"3/1/2025","1740787200","43200"
"3/2/2025","1740873600","43200"
"3/3/2025","1740960000","43200"
"3/4/2025","1741046400","43200"
"3/5/2025","1741132800","43200"
"3/6/2025","1741219200","43200"
"3/7/2025","1741305600","43200"
"3/8/2025","1741392000","43200"
"3/9/2025","1741478400","43200"
"3/10/2025","1741564800","43200"
"3/11/2025","1741651200","43200"
"3/12/2025","1741737600","43200"
"3/13/2025","1741824000","43200"
"3/14/2025","1741910400","43200"
"3/15/2025","1741996800","43200"
"3/16/2025","1742083200","43200"
"3/17/2025","1742169600","43200"
"3/18/2025","1742256000","43200"
"3/19/2025","1742342400","43200"
"3/20/2025","1742428800","43200"
"3/21/2025","1742515200","43200"
"3/22/2025","1742601600","43200"
"3/23/2025","1742688000","43200"
"3/24/2025","1742774400","43200"
"3/25/2025","1742860800","43200"
"3/26/2025","1742947200","43200"
"3/27/2025","1743033600","43200"
"3/28/2025","1743120000","43200"
"3/29/2025","1743206400","43200"
"3/30/2025","1743292800","43200"
"3/31/2025","1743379200","43200"
"4/1/2025","1743465600","43200"
"4/2/2025","1743552000","43200"
"4/3/2025","1743638400","43200"
"4/4/2025","1743724800","43200"
"4/5/2025","1743811200","43200"
"4/6/2025","1743897600","43200"
"4/7/2025","1743984000","43200"
"4/8/2025","1744070400","43200"
"4/9/2025","1744156800","43200"
"4/10/2025","1744243200","43200"
"4/11/2025","1744329600","43200"
"4/12/2025","1744416000","43200"
"4/13/2025","1744502400","43200"
"4/14/2025","1744588800","43200"
"4/15/2025","1744675200","43200"
"4/16/2025","1744761600","43200"
"4/17/2025","1744848000","43200"
"4/18/2025","1744934400","43200"
"4/19/2025","1745020800","43200"
"4/20/2025","1745107200","43200"
"4/21/2025","1745193600","43200"
"4/22/2025","1745280000","43200"
"4/23/2025","1745366400","43200"
"4/24/2025","1745452800","43200"
"4/25/2025","1745539200","43200"
"4/26/2025","1745625600","43200"
"4/27/2025","1745712000","43200"
"4/28/2025","1745798400","43200"
"4/29/2025","1745884800","43200"
"4/30/2025","1745971200","43200"
"5/1/2025","1746057600","43200"
"5/2/2025","1746144000","43200"
"5/3/2025","1746230400","43200"
"5/4/2025","1746316800","43200"
"5/5/2025","1746403200","43200"
"5/6/2025","1746489600","43200"
"5/7/2025","1746576000","43200"
"5/8/2025","1746662400","43200"
"5/9/2025","1746748800","43200"
"5/10/2025","1746835200","43200"
"5/11/2025","1746921600","43200"
"5/12/2025","1747008000","43200"
"5/13/2025","1747094400","43200"
"5/14/2025","1747180800","43200"
"5/15/2025","1747267200","43200"
"5/16/2025","1747353600","43200"
"5/17/2025","1747440000","43200"
"5/18/2025","1747526400","43200"
"5/19/2025","1747612800","43200"
"5/20/2025","1747699200","43200"
"5/21/2025","1747785600","43200"
"5/22/2025","1747872000","43200"
"5/23/2025","1747958400","43200"
"5/24/2025","1748044800","43200"
"5/25/2025","1748131200","43200"
"5/26/2025","1748217600","43200"
"5/27/2025","1748304000","43200"
"5/28/2025","1748390400","43200"
"5/29/2025","1748476800","43200"
"5/30/2025","1748563200","43200"
"5/31/2025","1748649600","43200"
"6/1/2025","1748736000","43200"
"6/2/2025","1748822400","43200"
"6/3/2025","1748908800","43200"
"6/4/2025","1748995200","43200"
"6/5/2025","1749081600","43200"
"6/6/2025","1749168000","43200"
"6/7/2025","1749254400","43200"
"6/8/2025","1749340800","43200"
"6/9/2025","1749427200","43200"
"6/10/2025","1749513600","43200"
"6/11/2025","1749600000","43200"
"6/12/2025","1749686400","43200"
"6/13/2025","1749772800","43200"
"6/14/2025","1749859200","43200"
"6/15/2025","1749945600","43200"
"6/16/2025","1750032000","43200"
"6/17/2025","1750118400","43200"
"6/18/2025","1750204800","43200"
"6/19/2025","1750291200","43200"
"6/20/2025","1750377600","43200"
"6/21/2025","1750464000","43200"
"6/22/2025","1750550400","43200"
"6/23/2025","1750636800","43200"
"6/24/2025","1750723200","43200"
"6/25/2025","1750809600","43200"
"6/26/2025","1750896000","43200"
"6/27/2025","1750982400","43200"
"6/28/2025","1751068800","43200"
"6/29/2025","1751155200","43200"
"6/30/2025","1751241600","43200"
"7/1/2025","1751328000","43200"
"7/2/2025","1751414400","43200"
"7/3/2025","1751500800","43200"
"7/4/2025","1751587200","43200"
"7/5/2025","1751673600","43200"
"7/6/2025","1751760000","43200"
"7/7/2025","1751846400","43200"
"7/8/2025","1751932800","43200"
"7/9/2025","1752019200","43200"
"7/10/2025","1752105600","43200"
"7/11/2025","1752192000","43200"
"7/12/2025","1752278400","43200"
"7/13/2025","1752364800","43200"
"7/14/2025","1752451200","43200"
"7/15/2025","1752537600","43200"
"7/16/2025","1752624000","43200"
"7/17/2025","1752710400","43200"
"7/18/2025","1752796800","43200"
"7/19/2025","1752883200","43200"
"7/20/2025","1752969600","43200"
"7/21/2025","1753056000","43200"
"7/22/2025","1753142400","43200"
"7/23/2025","1753228800","43200"
"7/24/2025","1753315200","43200"
"7/25/2025","1753401600","43200"
"7/26/2025","1753488000","43200"
"7/27/2025","1753574400","43200"
"7/28/2025","1753660800","43200"
"7/29/2025","1753747200","43200"
"7/30/2025","1753833600","43200"
"7/31/2025","1753920000","43200"
"8/1/2025","1754006400","43200"
"8/2/2025","1754092800","43200"
"8/3/2025","1754179200","43200"
"8/4/2025","1754265600","43200"
"8/5/2025","1754352000","43200"
"8/6/2025","1754438400","43200"
"8/7/2025","1754524800","43200"
"8/8/2025","1754611200","43200"
"8/9/2025","1754697600","43200"
"8/10/2025","1754784000","43200"
"8/11/2025","1754870400","43200"
"8/12/2025","1754956800","43200"
"8/13/2025","1755043200","43200"
"8/14/2025","1755129600","43200"
"8/15/2025","1755216000","43200"
"8/16/2025","1755302400","43200"
"8/17/2025","1755388800","43200"
"8/18/2025","1755475200","43200"
"8/19/2025","1755561600","43200"
"8/20/2025","1755648000","43200"
"8/21/2025","1755734400","43200"
"8/22/2025","1755820800","43200"
"8/23/2025","1755907200","43200"
"8/24/2025","1755993600","43200"
"8/25/2025","1756080000","43200"
"8/26/2025","1756166400","43200"
"8/27/2025","1756252800","43200"
"8/28/2025","1756339200","43200"
"8/29/2025","1756425600","43200"
"8/30/2025","1756512000","43200"
"8/31/2025","1756598400","43200"
"9/1/2025","1756684800","43200"
"9/2/2025","1756771200","43200"
"9/3/2025","1756857600","43200"
"9/4/2025","1756944000","43200"
"9/5/2025","1757030400","43200"
"9/6/2025","1757116800","43200"
"9/7/2025","1757203200","43200"
"9/8/2025","1757289600","43200"
"9/9/2025","1757376000","43200"
"9/10/2025","1757462400","43200"
"9/11/2025","1757548800","43200"
"9/12/2025","1757635200","43200"
"9/13/2025","1757721600","43200"
"9/14/2025","1757808000","43200"
"9/15/2025","1757894400","43200"
"9/16/2025","1757980800","43200"
"9/17/2025","1758067200","43200"
"9/18/2025","1758153600","43200"
"9/19/2025","1758240000","43200"
"9/20/2025","1758326400","43200"
"9/21/2025","1758412800","43200"
"9/22/2025","1758499200","43200"
"9/23/2025","1758585600","43200"
"9/24/2025","1758672000","43200"
"9/25/2025","1758758400","43200"
"9/26/2025","1758844800","43200"
"9/27/2025","1758931200","43200"
"9/28/2025","1759017600","43200"
"9/29/2025","1759104000","43200"
"9/30/2025","1759190400","43200"
"10/1/2025","1759276800","43200"
"10/2/2025","1759363200","43200"
"10/3/2025","1759449600","43200"
